observation_date,GDPC1,UNRATE
1/1/1948,2239.682,0.037
4/1/1948,2276.69,0.037
7/1/1948,2289.77,0.038
10/1/1948,2292.364,0.038
1/1/1949,2260.807,0.047
4/1/1949,2253.128,0.059
7/1/1949,2276.424,0.067
10/1/1949,2257.352,0.07
1/1/1950,2346.104,0.064
4/1/1950,2417.682,0.056
7/1/1950,2511.127,0.046
10/1/1950,2559.214,0.042
1/1/1951,2593.967,0.035
4/1/1951,2638.898,0.031
7/1/1951,2693.259,0.032
10/1/1951,2699.156,0.034
1/1/1952,2727.954,0.031
4/1/1952,2733.8,0.03
7/1/1952,2753.517,0.032
10/1/1952,2843.941,0.028
1/1/1953,2896.811,0.027
4/1/1953,2919.206,0.026
7/1/1953,2902.785,0.027
10/1/1953,2858.845,0.037
1/1/1954,2845.192,0.053
4/1/1954,2848.305,0.058
7/1/1954,2880.482,0.06
10/1/1954,2936.852,0.053
1/1/1955,3020.746,0.047
4/1/1955,3069.91,0.044
7/1/1955,3111.379,0.041
10/1/1955,3130.068,0.042
1/1/1956,3117.922,0.04
4/1/1956,3143.694,0.042
7/1/1956,3140.874,0.041
10/1/1956,3192.57,0.041
1/1/1957,3213.011,0.039
4/1/1957,3205.97,0.041
7/1/1957,3237.386,0.042
10/1/1957,3203.894,0.049
1/1/1958,3120.724,0.063
4/1/1958,3141.224,0.074
7/1/1958,3213.884,0.073
10/1/1958,3289.032,0.064
1/1/1959,3352.129,0.058
4/1/1959,3427.667,0.051
7/1/1959,3430.057,0.053
10/1/1959,3439.832,0.056
1/1/1960,3517.181,0.051
4/1/1960,3498.246,0.052
7/1/1960,3515.385,0.055
10/1/1960,3470.278,0.063
1/1/1961,3493.703,0.068
4/1/1961,3553.021,0.07
7/1/1961,3621.252,0.068
10/1/1961,3692.289,0.062
1/1/1962,3758.147,0.056
4/1/1962,3792.149,0.055
7/1/1962,3838.776,0.056
10/1/1962,3851.421,0.055
1/1/1963,3893.482,0.058
4/1/1963,3937.183,0.057
7/1/1963,4023.755,0.055
10/1/1963,4050.147,0.056
1/1/1964,4135.553,0.055
4/1/1964,4180.592,0.052
7/1/1964,4245.918,0.05
10/1/1964,4259.046,0.05
1/1/1965,4362.111,0.049
4/1/1965,4417.225,0.047
7/1/1965,4515.427,0.044
10/1/1965,4619.458,0.041
1/1/1966,4731.888,0.039
4/1/1966,4748.046,0.038
7/1/1966,4788.254,0.038
10/1/1966,4827.537,0.037
1/1/1967,4870.299,0.038
4/1/1967,4873.287,0.038
7/1/1967,4919.392,0.038
10/1/1967,4956.477,0.039
1/1/1968,5057.553,0.037
4/1/1968,5142.033,0.036
7/1/1968,5181.859,0.035
10/1/1968,5202.212,0.034
1/1/1969,5283.597,0.034
4/1/1969,5299.625,0.034
7/1/1969,5334.6,0.036
