country,abbr.,trade_percent_gdp,gdp_perc_ppp_adj
Albania,ALB,79.45463608,21641.05315
Algeria,DZA,40.13457412,15501.9197
Angola,AGO,50.84223056,8901.887366
Argentina,ARG,27.92976085,26771.96577
Armenia,ARM,150.0647266,20078.7849
Aruba,ABW,160.3652788,44558.92876
Australia,AUS,47.14538111,60303.98171
Austria,AUT,108.8257778,63788.07868
Azerbaijan,AZE,82.68986916,22072.14912
"Bahamas, The",BHS,79.24245869,36244.05001
Bahrain,BHR,157.8184921,58891.83049
Bangladesh,BGD,26.7780758,8486.784957
Belarus,BLR,131.9179291,29040.97258
Belgium,BEL,158.9318263,63347.78588
Belize,BLZ,108.9724465,12621.4082
Benin,BEN,40.63980224,3901.325885
Bermuda,BMU,75.29024433,109311.9369
Bolivia,BOL,46.97787161,11329.15181
Bosnia and Herzegovina,BIH,95.15629571,20527.67694
Botswana,BWA,71.10525791,18068.50507
Brazil,BRA,35.58452394,19652.3655
Brunei Darussalam,BRN,132.5874396,79071.73338
Bulgaria,BGR,110.2263146,34221.62373
Burkina Faso,BFA,60.50242229,2547.672329
Cabo Verde,CPV,96.50535367,9848.952764
Cambodia,KHM,143.4470097,7008.889346
Cameroon,CMR,34.40317859,4916.93354
Canada,CAN,65.14992127,56706.8238
Central African Republic,CAF,46.43189998,1111.219416
Chad,TCD,47.8679893,2412.865855
Chile,CHL,63.85985725,30182.78712
China,CHN,37.19842014,23845.61972
Colombia,COL,37.02546871,18477.21467
Comoros,COM,44.37317675,3482.53486
"Congo, Dem. Rep.",COD,100.5540883,1602.07498
"Congo, Rep.",COG,93.18812208,6181.470716
Costa Rica,CRI,71.33101377,26973.43616
Cote d'Ivoire,CIV,51.26403794,6747.037968
Croatia,HRV,104.9123261,42829.12225
Cyprus,CYP,190.4028709,52635.47656
Czechia,CZE,131.4849811,47963.89685
Denmark,DNK,131.765031,71431.29262
Djibouti,DJI,241.2374631,6871.124405
Dominican Republic,DOM,51.7835144,24229.88949
Ecuador,ECU,57.20313955,13935.53911
"Egypt, Arab Rep.",EGY,39.60075209,16798.15158
El Salvador,SLV,84.65964616,11669.08171
Equatorial Guinea,GNQ,60.5414511,15454.42849
Estonia,EST,151.0377024,41189.66753
Eswatini,SWZ,107.4806211,10380.39666
Ethiopia,ETH,17.40043586,2892.222202
Faroe Islands,FRO,105.752803,72059.58033
Finland,FIN,83.46010154,56123.14796
France,FRA,68.10818754,54799.34827
Gabon,GAB,92.04680552,18923.66166
"Gambia, The",GMB,42.17061723,3057.684177
Georgia,GEO,103.4564714,24883.90812
Germany,DEU,79.09073059,62554.55472
Ghana,GHA,69.78842274,7055.62496
Greece,GRC,89.77652794,37474.27982
Guatemala,GTM,47.34419676,12640.8875
Guinea,GIN,97.77781773,4016.341914
Guinea-Bissau,GNB,38.80658479,2744.27981
Haiti,HTI,22.24788537,2809.645356
Honduras,HND,91.11015859,6585.855357
"Hong Kong SAR, China",HKG,359.5067107,66153.97467
Hungary,HUN,146.5045615,40686.93193
Iceland,ISL,85.96719327,67310.05736
India,IND,44.64929351,9818.042707
Indonesia,IDN,42.5726473,14470.4372
"Iran, Islamic Rep.",IRN,52.06213068,17484.13201
Iraq,IRQ,70.70874347,12725.04313
Ireland,IRL,246.1698749,119037.7312
Israel,ISR,54.4520003,47338.84246
Italy,ITA,62.82376851,53265.00325
Japan,JPN,46.40695162,46106.92292
Jordan,JOR,99.67944774,9520.250645
Kazakhstan,KAZ,57.1613432,35973.96333
Kenya,KEN,40.186014,5845.201177
"Korea, Rep.",KOR,84.64249512,55070.93862
Kosovo,XKX,113.789652,15716.29256
Kyrgyz Republic,KGZ,127.6505778,7048.989521
Latvia,LVA,132.2625079,37611.66994
Libya,LBY,128.8161758,12583.83387
Lithuania,LTU,143.0483909,47165.36656
Luxembourg,LUX,351.2679212,128475.2798
"Macao SAR, China",MAC,142.0794346,111693.5028
Madagascar,MDG,54.97958814,1657.049706
Malaysia,MYS,137.3625712,34116.23178
Maldives,MDV,156.4739557,23034.40984
Mali,MLI,49.89604143,2916.185295
Malta,MLT,218.1705524,62700.42279
Marshall Islands,MHL,123.809134,7209.26655
Mauritania,MRT,93.59883559,6482.690167
Mauritius,MUS,145.4217003,28011.15798
Mexico,MEX,74.58890798,22039.6287
"Micronesia, Fed. Sts.",FSM,98.4249673,3824.152344
Moldova,MDA,88.66611543,16376.61137
Mongolia,MNG,138.4483791,16842.65059
Montenegro,MNE,109.9441045,28105.6499
Morocco,MAR,92.18724461,9162.74707
Mozambique,MOZ,95.65942035,1500.314274
Namibia,NAM,109.6285098,10281.33564
Nauru,NRU,165.8467742,12468.76145
Nepal,NPL,40.52982268,5046.81593
Netherlands,NLD,153.8306522,70498.88404
New Zealand,NZL,51.22439722,49316.39994
Nicaragua,NIC,98.52583771,7661.602027
Niger,NER,49.97598374,1803.43693
North Macedonia,MKD,136.3248762,24203.24434
Norway,NOR,81.36350918,91105.2468
Oman,OMN,114.8526715,36721.08046
Pakistan,PAK,27.57846835,5500.323948
Panama,PAN,83.67377878,36394.91753
Paraguay,PRY,76.83115654,16296.28362
Peru,PER,51.47588787,15661.74977
Philippines,PHL,65.88547253,10375.94042
Poland,POL,100.3594428,45153.04398
Portugal,PRT,89.69640885,42197.20251
Puerto Rico (US),PRI,94.62250856,44205.74949
Romania,ROU,77.21498379,40503.97363
Russian Federation,RUS,39.50816477,41704.71094
Rwanda,RWA,69.95441357,3264.644515
Samoa,WSM,79.52414618,7686.249426
Saudi Arabia,SAU,54.67870527,62792.77415
Senegal,SEN,68.14051477,4460.923722
Serbia,SRB,111.7250284,26900.7834
Seychelles,SYC,188.3691853,29241.7758
Sierra Leone,SLE,40.54544505,3098.762906
Singapore,SGP,322.3714279,132569.5252
Slovak Republic,SVK,171.2128002,40319.05472
Slovenia,SVN,155.6579287,48648.90788
Solomon Islands,SLB,111.3529721,2353.248082
"Somalia, Fed. Rep.",SOM,130.3250606,1409.334922
South Africa,ZAF,61.64677047,13597.65385
Spain,ESP,69.95026124,48460.29141
Sri Lanka,LKA,42.39750087,13752.83674
Sudan,SDN,1.995412102,1861.397949
Sweden,SWE,105.8830915,62978.93905
Switzerland,CHE,134.0951485,82286.18019
Tanzania,TZA,41.51312072,3713.262939
Thailand,THA,136.747107,21740.54032
Timor-Leste,TLS,95.44850213,3890.957634
Tunisia,TUN,106.2985492,12774.91586
Turkiye,TUR,54.59880612,36154.49044
Turkmenistan,TKM,28.73460763,18662.2988
Uganda,UGA,42.65278891,2879.670093
Ukraine,UKR,77.75301133,16319.84473
United Kingdom,GBR,62.84016053,52621.17903
United States,USA,25.37863425,75489.26643
Uruguay,URY,52.46491679,32038.77273
Uzbekistan,UZB,60.72744038,10450.20514
Viet Nam,VNM,173.8620248,14415.21595
West Bank and Gaza,PSE,81.31368016,3845.502974
Zambia,ZMB,62.53488741,3708.069043
Zimbabwe,ZWE,41.48653127,5215.253011
