observation_date,r,m1,ngdp
1/1/1960,2.87,140.3,135.5956
1/1/1961,2.35,143.1,140.5525
1/1/1962,2.77,146.5,150.9804
1/1/1963,3.16,150.9,159.3629
1/1/1964,3.55,156.8,171.1154
1/1/1965,3.95,163.5,185.5726
1/1/1966,4.86,171,203.3535
1/1/1967,4.29,177.7,214.9891
1/1/1968,5.34,190.1,235.1617
1/1/1969,6.67,201.4,254.4038
1/1/1970,6.39,209.1,268.3277
1/1/1971,4.33,223.2,291.2125
1/1/1972,4.06,239,319.778
1/1/1973,7.04,256.4,356.344
1/1/1974,7.85,269.2,386.3107
1/1/1975,5.79,281.4,421.2263
1/1/1976,4.98,297.2,468.3532
1/1/1977,5.26,320,520.4563
1/1/1978,7.18,346.3,587.8997
1/1/1979,10.05,372.7,656.8316
1/1/1980,11.39,395.7,714.3272
1/1/1981,14.04,424.9,801.7603
1/1/1982,10.6,453,835.9473
1/1/1983,8.62,503.2,908.5092
1/1/1984,9.54,538.6,1009.4035
1/1/1985,7.47,587,1084.7452
1/1/1986,5.97,666.4,1144.9082
1/1/1987,5.78,743.5,1213.8041
1/1/1988,6.67,774.8,1309.1095
1/1/1989,8.11,782.2,1410.3949
1/1/1990,7.5,810.6,1490.7862
1/1/1991,5.38,859,1539.5323
1/1/1992,3.43,965.9,1630.0819
1/1/1993,3,1078.5,1714.6397
1/1/1994,4.25,1145.2,1821.8092
1/1/1995,5.49,1143.1,1909.9374
1/1/1996,5.01,1106.5,2018.2805
1/1/1997,5.06,1070.1,2144.3882
1/1/1998,4.78,1080.6,2265.7042
1/1/1999,4.64,1102.3,2407.793
1/1/2000,5.82,1103.6,2562.738
1/1/2001,3.4,1140.3,2645.4823
1/1/2002,1.61,1196.7,2732.2771
1/1/2003,1.01,1274,2864.1124
1/1/2004,1.37,1344.6,3054.299
1/1/2005,3.15,1372,3259.7993
1/1/2006,4.73,1375,3453.8958
1/1/2007,4.36,1373,3618.5568
1/1/2008,1.37,1435.2,3692.4655
1/1/2009,0.15,1638.1,3619.5168
1/1/2010,0.14,1742.7,3762.2428
1/1/2011,0.05,2010.5,3899.9329
1/1/2012,0.09,2315.5,4063.4926
1/1/2013,0.06,2549.7,4220.1709
1/1/2014,0.03,2815.2,4402.0346
1/1/2015,0.05,3021.9,4573.7548
1/1/2016,0.32,3248.9,4701.2284
1/1/2017,0.93,3524.5,4903.0257
1/1/2018,1.94,3680.6,5164.1289
1/1/2019,2.06,3845.3,5384.9954
1/1/2020,0.35,12781.8,5343.8204
1/1/2021,0.05,19355.3,5931.4114
1/1/2022,2.02,20396,6513.6536
1/1/2023,5.07,18500.9,6952.8793
1/1/2024,4.97,18082.6,7324.5032
