,hours worked,per capita gdp
Australia,1645,57510.6
Austria,1447.957,61797.3
Belgium,1593.289,62116.1
Canada,1694,51905.9
Czechia,1774.155,47774.6
Denmark,1379.945,68273.1
Estonia,1605.743,40801.7
Finland,1497.485,53950.6
France,1488.518,55130.5
Germany,1335.274,60955.4
Greece,1893.062,35917
Hungary,1671.139,40016.6
Ireland,1629.3,116492.1
Israel,1880.809,45159.4
Italy,1701.421,51954.2
Japan,1610.745,46987.3
Korea,1872,53388.2
Latvia,1625.241,36086.7
Lithuania,1640.355,45574.1
Luxembourg,1466,118438.4
Mexico,2206.628,21755.6
Netherlands,1449.243,68256.6
New Zealand,1751,47327
Norway,1412,74581.2
Poland,1806.919,43089.6
Portugal,1734.942,41110.1
Slovak Rep.,1621,39083.4
Slovenia,1588,47812.8
Spain,1637.986,45994.1
Sweden,1430.986,59974.2
Switzerland,1529.574,80355.4
United Kingdom,1496.393,54358.5
United States,1804.95,72631.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
