country,rgdpe15,pop15,hc15
Aruba,4505.901855,0.104184,
Angola,232731.0938,28.157798,1.452803016
Anguilla,422.8623962,0.01421,
Albania,35169.20313,2.898632,2.980127335
United Arab Emirates,680279.9375,8.674633,2.861440897
Argentina,1013187.75,43.477012,2.975289106
Armenia,33828.48828,2.921177,3.205677986
Antigua and Barbuda,2077.132324,0.089409,
Australia,1258723.375,23.948002,3.495503426
Austria,488378.125,8.644039,3.337063313
Azerbaijan,169498.8438,9.75285,
Burundi,8954.5625,11.04758,1.362545133
Belgium,588631.6875,11.275335,3.12391448
Benin,33577.90234,11.360681,1.766209722
Burkina Faso,35531.59375,18.777487,1.231399775
Bangladesh,739007.125,159.383179,1.99705112
Bulgaria,147547.6563,7.177517,3.139748812
Bahrain,72181.27344,1.36965,2.482345343
Bahamas,14151.80273,0.385346,
Bosnia and Herzegovina,45669.02344,3.518541,
Belarus,211083.2344,9.487293,
Belize,3827.012451,0.356333,2.904261589
Bermuda,5038.669922,0.063464,
Bolivia (Plurinational State of),88369.29688,11.014705,2.85346055
Brazil,3399294.25,201.675532,2.813660383
Barbados,5429.500488,0.27899,2.825403214
Brunei Darussalam,32206.375,0.422212,2.766320229
Bhutan,8479.119141,0.740618,
Botswana,37067.78906,2.203273,2.834160805
Central African Republic,4162.649902,4.62932,1.519459486
Canada,1827783,35.962234,3.691578627
Switzerland,605930.8125,8.283934,3.6723876
Chile,467149.2188,18.047625,3.070421934
China,20095396,1396.134174,2.599027872
Côte d'Ivoire,123512.8906,25.246342,1.619996786
Cameroon,89778.875,22.763414,1.884242892
D.R. of the Congo,79623.08594,81.035531,1.734150648
Congo,25638.88281,5.097581,2.15378499
Colombia,704555.625,46.96994,2.512125254
Comoros,2447.877197,0.726682,
Cabo Verde,4078.303223,0.512394,
Costa Rica,96235.35156,4.818038,2.621647358
Curaçao,4250.496582,0.166612,
Cayman Islands,4182.618652,0.061642,
Cyprus,29835.53516,0.8477,2.822036982
Czechia,419941.0625,10.524416,3.710701466
Germany,4420293.5,82.07755,3.66556406
Djibouti,4940.085938,1.020313,
Dominica,918.7555542,0.07041,
Denmark,306024.1875,5.683701,3.527188301
Dominican Republic,169371.8281,10.434829,2.629796743
Algeria,543596.875,40.019529,2.224396706
Ecuador,196859.2344,16.266225,2.736783981
Egypt,1210753.625,99.597342,2.559852123
Spain,1876815.5,46.683686,2.902939558
Estonia,45383.21484,1.314576,3.508180618
Ethiopia,182185.7969,103.867135,1.375276327
Finland,261014.7031,5.479717,3.428412676
Fiji,12203.02246,0.918578,2.660804987
France,3062349.5,67.080971,3.151749134
Gabon,33412.01953,2.040989,2.695739985
United Kingdom,3193091.75,65.38211,3.742114305
Georgia,49344.75781,3.791573,
Ghana,162492.0625,28.696068,2.404215574
Guinea,25745.69531,11.76707,
Gambia,4829.497559,2.224529,1.526641369
Guinea-Bissau,3304.789795,1.786457,
Equatorial Guinea,35292.875,1.453923,
Greece,319864.3438,10.820903,3.047810316
Grenada,1668.84021,0.114676,
Guatemala,148013.2188,15.971743,1.866422534
Guyana,9602.695313,0.758781,2.654034138
"China, Hong Kong SAR",446563.375,7.366409,3.27319479
Honduras,49198.30859,9.237305,2.264763355
Croatia,113409.1016,4.183729,3.421391726
Haiti,37928.83594,10.523242,1.700169802
Hungary,307897.5313,9.839211,3.353065491
Indonesia,2924477.5,261.799249,2.344455719
India,7896249.5,1328.024498,2.077507973
Ireland,402849.3125,4.702487,3.11628747
Iran (Islamic Republic of),1325752.5,82.619362,2.333476543
Iraq,404365.625,37.560535,2.237076998
Iceland,18366.37305,0.330952,3.130251884
Israel,341821.8438,8.052908,3.654113531
Italy,2531386,60.575316,3.085470676
Jamaica,26444.01758,2.802534,2.578757286
Jordan,94978.21875,9.544729,2.847278357
Japan,5667116.5,127.275872,3.550699234
Kazakhstan,481565.6563,18.084169,3.420265913
Kenya,195307.5,47.088526,2.264563322
Kyrgyzstan,27481.37305,6.001882,3.266863823
Cambodia,73633.95313,15.623251,1.682240963
Saint Kitts and Nevis,1491.354614,0.047087,
Republic of Korea,2244826,50.983912,3.591283321
Kuwait,203682.0156,3.834454,2.191699266
Lao People's DR,48078.79297,6.801645,1.880841255
Lebanon,120787.2891,6.472469,
Liberia,7175.00293,4.659431,1.797060847
Saint Lucia,2774.182373,0.174905,
Sri Lanka,282758.625,21.729971,2.883311749
Lesotho,6981.054199,2.104611,2.182021141
Lithuania,96638.65625,2.905764,3.246054173
Luxembourg,67099.77344,0.569536,3.115272045
Latvia,55109.00781,1.977867,3.083152771
"China, Macao SAR",69180.57031,0.622179,2.694254398
Morocco,309177.4688,34.607588,1.85103631
Republic of Moldova,29678.44922,3.287164,3.107818604
Madagascar,43479.36328,25.426702,1.686849594
Maldives,8682.435547,0.428154,2.009483814
Mexico,2598904.75,121.072306,2.69653964
North Macedonia,32747.80859,1.980366,
Mali,39752.01563,18.593022,1.307898402
Malta,19708.16992,0.444981,3.189071178
Myanmar,259198.9844,51.089056,1.790214419
Montenegro,11345.41602,0.628145,
Mongolia,36944.40234,2.976526,2.890123844
Mozambique,38727.66016,26.547572,1.207090855
Mauritania,18770.55859,3.965959,1.702409148
Montserrat,116.2152786,0.004673,
Mauritius,29143.57813,1.292275,2.574240685
Malawi,23914.71484,17.085587,1.878869534
Malaysia,863760.875,31.232798,2.990283012
Namibia,28447.18945,2.3743,2.199526787
Niger,25510.75,19.939498,1.199024558
Nigeria,1153770.75,190.671878,1.875472069
Nicaragua,36057.95703,6.149417,2.197293043
Netherlands,976814.875,17.107433,3.340310097
Norway,362541.4688,5.189771,3.623532772
Nepal,87375.73438,27.823629,1.718099236
New Zealand,195302.8594,4.614029,3.314890862
Oman,182572.6719,4.184895,
Pakistan,1109754.875,217.290883,1.877256513
Panama,114332.6641,3.960035,2.826475143
Peru,394213.3438,30.4576,2.767813683
Philippines,829892.1875,105.312992,2.659305334
Poland,1187056,38.266314,3.35716629
Portugal,342936.8438,10.370267,2.444253445
Paraguay,87662.08594,6.159103,2.551005602
State of Palestine,29251.54688,4.521565,
Qatar,292751.25,2.427331,2.851027012
Romania,485878.4688,19.871019,3.194822311
Russian Federation,4142568.25,145.307616,3.304867506
Rwanda,23721.19727,11.640022,1.699243784
Saudi Arabia,1837673,29.974938,2.675661325
Sudan,296887.2813,40.024431,1.57070446
Senegal,47858.23828,14.593331,1.542512059
Singapore,497220.25,5.52534,3.148519278
Sierra Leone,13159.61523,7.037655,1.582082987
El Salvador,53769.16797,6.183676,2.173937559
Somalia,16651.48047,13.806963,
Serbia,119734.3359,7.177253,3.283073425
South Sudan,3491.995361,11.107561,
Sao Tome and Principe,897.1355591,0.200291,
Suriname,10766.125,0.581627,
Slovakia,187851.25,5.420278,3.709203959
Slovenia,74762.79688,2.059947,3.511508226
Sweden,553964.4375,9.799481,3.395940542
Eswatini,11530.43262,1.142813,1.773352385
Sint Maarten (Dutch part),1874.004395,0.037471,
Seychelles,2935.658691,0.10723,
Syrian Arab Republic,72609.39063,19.424618,2.521237135
Turks and Caicos Islands,1022.353638,0.036605,
Chad,38708.13281,14.647621,
Togo,16181.55078,7.663195,1.992540598
Thailand,1266244.625,70.540795,2.661622047
Tajikistan,26351.72266,8.64384,3.15649128
Turkmenistan,119863.6797,6.21577,
Trinidad and Tobago,45200.06641,1.429188,3.05047822
Tunisia,140951.4219,11.402264,2.509178877
Türkiye,2188434.25,80.014226,2.3762784
Taiwan,1255819.625,23.462914,3.226762533
U.R. of Tanzania: Mainland,128962.1094,50.579779,1.662584305
Uganda,96275.72656,37.531446,2.218153954
Ukraine,540478.5625,45.784896,3.255420208
Uruguay,84782.5625,3.368017,2.686923265
United States,20899968,326.126497,3.728116274
Uzbekistan,227481.9688,30.749346,
St. Vincent and the Grenadines,1482.245239,0.10696,
Venezuela (Bolivarian Republic of),167797.125,30.573972,2.753608465
British Virgin Islands,1284.444702,0.034498,
Viet Nam,808130.625,92.823254,2.530564785
Yemen,65874.53906,31.159379,1.626613379
South Africa,867253.75,56.723537,2.600902557
Zambia,57457.09766,16.399089,2.501791477
Zimbabwe,44778.35938,14.399013,2.584653139
